Transaction Table Details:

Table Name						Operations	Data Level

ADJUSTED_DEMAND_ACTUAL			, ACD		, ITEM + PERIOD
ADJUSTED_DEMAND_FORECAST		, ACD		, ITEM + PERIOD
	
CUSTOMER_GTS_ACTUAL				, A			, CUSTOMER + ITEM + PERIOD
CUSTOMER_GTS_FORECAST			, A			, CUSTOMER + ITEM + PERIOD
	
DEMAND_ACTUAL					, ACD		, ITEM + PERIOD
DEMAND_FORECAST					, ACD		, ITEM + PERIOD
	
FORECASTING_MASTER(EX_FACTORY)	, A			, ITEM + PERIOD
	
INVENTORY_WD_ACTUAL_MAS			, A			, ITEM + PERIOD
INVENTORY_WD_PROJ_MAS			, A			, ITEM + PERIOD
	
INVENTORY_WD_ACTUAL_DT			, A			, CUSTOMER + ITEM + PERIOD
INVENTORY_WD_PROJ_DT			, A			, CUSTOMER + ITEM + PERIOD
	
RETURNS_MASTER					, A			, ITEM + PERIOD
	
ACTUAL_MASTER					, A			, CUSTOMER + CONTRACT + ITEM + REBATE + PERIOD
